RootDoctorAMKA	RootDoctorName	CurrentDoctorAMKA	CurrentDoctorName	CurrentDoctorRank	Level	SupervisorAMKA
10000000268	Giorgos Dimitriou	10000000263	Eleni Kostopoulos	Consultant	1	10000000260
10000000268	Giorgos Dimitriou	10000000260	Dimitra Theodorou	Director	2	NULL
10000000269	Panagiota Georgiou	10000000260	Dimitra Theodorou	Director	1	NULL
10000000270	Marios Theodorou	10000000260	Dimitra Theodorou	Director	1	NULL
10000000271	Nikos Konstantinou	10000000263	Eleni Kostopoulos	Consultant	1	10000000260
10000000271	Nikos Konstantinou	10000000260	Dimitra Theodorou	Director	2	NULL
10000000272	Chrysa Theodorou	10000000260	Dimitra Theodorou	Director	1	NULL
10000000273	Nikos Alexiou	10000000260	Dimitra Theodorou	Director	1	NULL
10000000274	Vasilis Georgiou	10000000260	Dimitra Theodorou	Director	1	NULL
10000000275	Vasilis Nikolaou	10000000270	Marios Theodorou	Registrar	1	10000000260
10000000275	Vasilis Nikolaou	10000000260	Dimitra Theodorou	Director	2	NULL
10000000276	Andreas Lazarou	10000000260	Dimitra Theodorou	Director	1	NULL
10000000277	Georgia Pavlidis	10000000260	Dimitra Theodorou	Director	1	NULL
10000000278	Sofia Theodorou	10000000260	Dimitra Theodorou	Director	1	NULL
10000000279	Michalis Lazarou	10000000278	Sofia Theodorou	Consultant	1	10000000260
10000000279	Michalis Lazarou	10000000260	Dimitra Theodorou	Director	2	NULL
10000000281	Evangelia Petrou	10000000280	Petros Nikolaou	Director	1	NULL
10000000282	Christos Athanasiou	10000000297	Kostas Georgiou	Registrar	1	10000000280
10000000282	Christos Athanasiou	10000000280	Petros Nikolaou	Director	2	NULL
10000000283	Spyros Vasiliou	10000000280	Petros Nikolaou	Director	1	NULL
10000000284	Panagiotis Kostopoulos	10000000280	Petros Nikolaou	Director	1	NULL
10000000285	Evangelia Alexiou	10000000293	Giannis Papadopoulos	Registrar	1	10000000280
10000000285	Evangelia Alexiou	10000000280	Petros Nikolaou	Director	2	NULL
10000000286	Petros Konstantinou	10000000280	Petros Nikolaou	Director	1	NULL
10000000287	Nikos Lazarou	10000000280	Petros Nikolaou	Director	1	NULL
10000000288	Dimitris Nikolaou	10000000287	Nikos Lazarou	Registrar	1	10000000280
10000000288	Dimitris Nikolaou	10000000280	Petros Nikolaou	Director	2	NULL
10000000289	Stavros Vasiliou	10000000280	Petros Nikolaou	Director	1	NULL
10000000290	Giannis Vasiliou	10000000280	Petros Nikolaou	Director	1	NULL
10000000291	Christos Alexiou	10000000283	Spyros Vasiliou	Consultant	1	10000000280
10000000291	Christos Alexiou	10000000280	Petros Nikolaou	Director	2	NULL
10000000292	Kostas Alexiou	10000000280	Petros Nikolaou	Director	1	NULL
10000000293	Giannis Papadopoulos	10000000280	Petros Nikolaou	Director	1	NULL
10000000294	Anastasia Kostopoulos	10000000280	Petros Nikolaou	Director	1	NULL
10000000295	Christos Dimitriou	10000000284	Panagiotis Kostopoulos	Registrar	1	10000000280
10000000295	Christos Dimitriou	10000000280	Petros Nikolaou	Director	2	NULL
10000000296	Nikos Nikolaou	10000000280	Petros Nikolaou	Director	1	NULL
10000000297	Kostas Georgiou	10000000280	Petros Nikolaou	Director	1	NULL
10000000298	Giannis Papadopoulos	10000000280	Petros Nikolaou	Director	1	NULL
10000000299	Michalis Theodorou	10000000287	Nikos Lazarou	Registrar	1	10000000280
10000000299	Michalis Theodorou	10000000280	Petros Nikolaou	Director	2	NULL
